book_id,review_content
14279,A superb introduction to one of the best writers i
13497818,WARNING:CAPSLOCK ABUSE. BE WARNED.Accio new-JK-Row
7041276,Nelson Mandela is my hero. Rugby is my game (I'm f
44234,"May 3, 20113 volumes, 1000 pages each; this is goi"
24739,4.5 overall. Mostly 5-star stories in this 16-stor
12279,"“Of what one cannot speak, about that one must be "
59425,4.5*(the better-looking version of this review is 
647492,What makes seemingly normal people commit unforgiv
415412,"3.5 stars rounded up.It’s 1943 and Victor Joppolo,"
2870891,Excellent biography of the Apostle Paul which is s
285205,Reread in June 2020This is still a scary book. It'
133765,This is a companion comic book series to a tv-seri
345504,After being entangled with this book for a little 
7899,"I absolutely loved this so, so much! At first I wa"
187020,I came to this book in a unique way. I read that P
28876,"God, I admit, I'm one of those douchey fucks that "
6613956,"This book is going to be big. But, people still do"
2321054,Few authors manage to win me over the way Karl Sch
12925063,"I tried really, really hard to like this book. I j"
89376,This book makes me want to go to heaven as soon as
59221559,It was mainly blah but the action at the end made 
539519,“Why should this one wolf be shut up for an indivi
13526165,PRO: Made me think about all the time I've spent i
128711,A soap opera story of the people who live in old d
62805,I’ve read a half-dozen novels by this Japanese aut
30226698,I received a copy of The Trapped Girl through NetG
62804,"2.5 stars.A tough read, which I may try again once"
29090898,I haven't felt this way about a story since The Ma
223838,"""What Would Jesus Do?""Yes, this book is where that"
2551840,At first I got a kick out of reading a book by Bri
52528,"You know, I think I'm just going to give up on Lou"
34529,"Ritual magic is gone mad, even more lunatic than t"
13522285,"Rating: 1.5 StarsI almost feel like laughing, but "
24335,I have no idea how I managed to not read this as a
1241629,This book moved me.
23308087,How have I not reviewed this book? FLAME IN THE MI
119073,"Go ahead, throw your tomatoes at me!I know that in"
40866,"Earth is on its last leg. The sun is a red giant, "
985692,Random Passage gives us an honest and humbling loo
368772,Excellent! My first Super Favorite of 2017.THE CAI
59099,"I don't really like historical novels, because so "
12738,This is one of the most perfectly constructed nove
16183,This book taught me something about myself: I have
230543,"This was one of those ""cool"" books that I avoided "
163196,"eta, 1/17/19: Since I wrote this review, I discove"
1011321,Dark yet exciting and delightful. This series was 
18774964,"Update:I had planned to leave this post as it is, "
6604209,First read: 1st September 2016 - 19th September 20
20761374,So hot.So fun.So sexy.So already reading the next 
334123,"If you want an ingenious hybrid of Riordan, Pratch"
53152636,"For as intriguing as it is, immersive it is not. T"
902715,A masterful follow-up that leaves the reader raven
243598,"“On the Road” in North Africa, published eight yea"
71636,The title accurately identifies the unifying theme
1069866,Thanks to my MiL for getting this book for me. She
6969361,"The book is bad, the movie is not any better. Don'"
645562,Fantastic account of a woman on the verge of turni
50485649,There is no knife in this book.
61078353,Top global technology lawyer Tornait “Torn” Sagara
12292002,It's always such a delight to discover a new horro
14781491,Actual rating: 1.5 stars.I may or may not be a tee
868921,"In the tradition of Rene Descartes, Jean-Paul Sart"
6163,"It took me a while to get through this trilogy, si"
13162,Why do I read Patterson books! I suppose its becau
835458,Nancy Mitford'sThe Pursuit of Loveis about love an
42849823,I love a good thriller novel and 'Brownout – 666' 
8282,I would have died ten times over if I lived during
36323798,“Sometimes a weakness felt like a blade turned inw
3191189,What if possession was an epidemic? What if the sa
9579634,I'm purposely using cat gifs to try and soften thi
587359,"Book of Books, the very oddestHere - the Book of L"
58735075,Very disappointing. The premise for this book tota
5843145,I had the good fortune to win an ARC of MERIDIAN f
456028,W.o.w. I don't think mere words can actually encom
14495404,Past Present and Promises is not a book for the fa
495395,"Ask yourself: ""Would it be fun to literally follow"
33395557,"I love reading great SF, but sometimes we just stu"
19057,(4.5 ★’s)Sometimes people are beautiful.Not in loo
6203049,Read #4: 4/29-30/2021Read #3: 2/19-21/2019Reread: 
35099772,I read Michelle's first book and wondered over the
15993374,"""This is a game. Our game. One that I asked for, b"
76826,Exile and the Kingdom: StoriesAlbert CamusThe stor
33290408,“The problem is this: how to love people who have 
158952,This is the first book I have read by Lynn Austin 
20911450,***Review posted on The Eater of Books! blog***See
179780,UPDATE: $1.99 Kindle US today 10/26/20I think I'm 
7276503,Not much to say about this short story. It doesn't
450904,Gaelen Foley has fast become one of my favorite au
659622,"With all the drama of the Dollanganger saga done, "
58944475,Great advice on how to have the crucial conversati
541920,The Liberation Trilogyis what happens when an Engl
65916344,D.N.F.The first Stephen King book I have ever had 
18224520,When I came across this best-selling book of short
328854,I read this 'often hilarious'-[one-of-a-kind]-nove
47975,[4+] Orringer captures the essence of girls growin
68210,This book is amazing. I can't believe those frikki
24721,T.C. Boyle has written several collections of stor
1924490,Yesterday I actually snuck over to the comics stor
6135237,This is a difficult book to review.I loved Pat Con
28703,"As eerie, weird, morbid, (yet) concise as writers "
761381,The Halloween Tree by Ray Bradbury is a short nove
7956,"It's been years since I last read this, but I reme"
14289,I already knew that Ryu Murakami likes to delve in
55304,CONFESSIONS OF A HISTORY ADDICTKnowing my wife isn
32978448,dnf @ 36%i don't think i'm the right target audien
11925514,"One of two books this year to make me cry--I mean,"
47626,Yes. I'm reviewing a YA book. (Picture me sticking
3244700,Who knew that rural France around the time of WW I
1301,I read Moneyball at a time when I wasn't reading t
130580,Let me say first that some love this book and to b
13508406,"My o my, how self-important and wannabe-subversive"
7148787,I was really disappointed with this book as a whol
7675,Thomas Sanders has a new female boss.He has known 
61365790,"Wow, my jaw dropped so many times during this shor"
141352,"He, who had been cheered by thousands, could not n"
303454,I have read 6 out of the 7 books in the Shadow Chi
209279,"Set in China, PAVILION OF WOMEN by Pearl S Buck in"
16102004,Adult review for erotic content.Hoo boy. This is g
3707819,"4.5 StarsIf you are going to read this book, then "
6624061,I liked learning about Nelson Mandela's life. Ther
224387,"OH MY GOD, this uncoventional, feminist woman is m"
974742,Despite my long-standing interest in supernatural 
6820,'Maybe the meaning of life lies in looking for it.
61346208,I think time travel is a very difficult subject to
6339664,"Top Ten Irrational Points inhush, hushNora’s sex e"
28006096,"""Hail, the Meg!""""IS'T HOT IN HITHER? OR IS'T JUST "
43594238,Rating: 4 starsA story set inheavena gigantic seco
184618,Belle du Seigneuris a treatise of human stupidity…
22079615,"This book was pretty much unreadable, it was silly"
785578,I liked the essays on the Pullman Porters and the 
303460,“What kind of a country thinks it’s a betrayal jus
16031258,I started reading this novel through the holidays.
317282,I went into this with a quest. To discover if afte
9975679,It all starts with a cataclysmic electromagnetic i
1275105,"""A Charlie Brown Christmas"" tells the story of the"
136636,This was good! Real goood!!4.5-5 ⭐My head hurts so
6054449,I’m going hard on this one. I’m a huge proponent o
28638480,This is a great rhyming book for children. I enjoy
55751,A baboon in a forest is a matter of legitimate spe
2702704,A very f-ed up cliffhanger rivaled only by the one
2917200,How I Came To Read This Book: Bargain buy to throw
5942,"It’s the civil war in Sri Lanka. Anil, the novel’s"
46677,My son and I adore this book! It is a wonderful st
380047,Take time for your life- and begin living a life t
46231,So you want to write? Pick up this collection of p
12557,Secrets. Mothers and daughters nearly always keep 
1295102,so the Sarah Dessen Reread Extravaganza continued 
132336,3 StarsI don't know whether it's the writing itsel
101086,It really has me baffled that some people don't li
116012,I read this for the Murder Most Foul square forHal
8855321,"(2.5) Need to watch the tv show because damn, I'm "
15812814,"1.5 stars.This was bad. And boring.I mean, the who"
28768,"Strange, very strange.Stanislaw Lem's cautionary t"
2211931,A remarkable account of the rise of the Bin Laden 
918645,"**5 ""CONUNDRUM OF CONFUSION” STARS***I started thi"
204043,Narutowas my gateway drug into the world of manga 
7664041,Why does everything have to be so hard? [Eragon] w
2888317,(The review is only for Lora Leigh’s story: Christ
43798,This novel so often gets overlooked; Anne Rice's m
142963119,"Welp. By comparison, nothing will seem as dark as "
163165,The Publisher Says: Winning fans in Europe and Ame
10970532,5 deliciously dark starsThis is not a romance nove
89184,"What a terrible, terrible ending to what started o"
5111039,"i've read the first second third fourth and fifth,"
11711,This one got thrown at the wall in a short space o
33246331,I cannot wait for this book. I've been a rabid Viv
6601408,How are you feeling today?:: pissed off? angry? of
54935,I loved this book. In those first disturbing post-
570149,"I loved the earlier work, when he had shorter to m"
9917945,www.melissa413readsalot.blogspot.comI didn't like 
11563,Danse Macabre is Stephen King covering the horror 
16180,The story of Henry the VIII’s less well known wive
103342,I expected to love this book because memoirs of pe
9549,"""Book, you have the right to a speedy trial"" revie"
197375895,"Moments I had:1. So, we are just going to act like"
23951,Don't know what I am missing but this screenplay l
63241097,3 stars because of the format!Mega-bestselling Bri
6080889,“The piece’s core glowed as if lit by an inner fir
296576,Short Summary:Peasant girl with ambitious streak's
10193062,"Unsurprisingly, I likedOutspostas much as I likedE"
5604848,"Well, talk about not being able to put a book down"
45967,"This classic Iranian novella, darkly romantic and "
4648,"Death in the Afternoon, Ernest HemingwayDeath in t"
40395,"2.5 stars. I know, I know. I can hear you out ther"
34189556,OH. MY. GOSHHHHHHHHHHH. I HAD TO ADD THIS TO MY TW
2249507,I'm rather surprised that of the first three books
6671,Didn't everyone try to learn to see through things
603607,"For a series of criminal capers, Westlake’s Dortmu"
178911,Annabel LeebyEdgar Allan PoeThis narrative poem is
109326,We were that rarest of couples. Even after years o
102868,"Meet Sherlock Holmes, detective extraordinaire.Dr."
568645,re-read on 1/18/15You can also read this review an
41541,"First published in 1995, I had heard of this book "
3337975,"I read this a LONG time ago when I was... fuck, I "
43559,This needs a bit of explanation. It's a true story
2385266,The Fungusby Harry Adam Knight (a pen-name for col
7064529,How funny to think that when I read this I would n
37542581,"5 "" superb, exciting, edge of your seat"" stars !!1"
36217425,DNF. Made it up to the last fifty pages and threw 
66013,"Amish brush with the past, enjoyed it. First in a "
18077875,Whenever you rate a book best described as a self-
6387565,This is the first book that I've read and that I c
97898,"I am only half-way through this book now, but I am"
50659468,"When I finished this book,the mountains trembled.*"
24611623,Some of you will probably skip reading this review
6314763,"So, I read the reviews and people in the ""dislike"""
1330324,I give a high place to Ghosh among contemporary En
10798416,"I decided I needed a quick meet-cute read, as a bu"
194755,2nd book complete
386286,A reminder of what the world was like to live in N
4957350,A year ago I got through fifty pages of this book 
3591262,Recently in San Francisco I attended a reading by 
179172,"First written in 1953, 15 years before the first r"
50608676,HAPPY PRIDE MONTH!!!looking for great books to rea
74917267,Wow! This is such an entertaining read packed full
18465566,Me the whole time:
14185,The Three Stigmata of Palmer Eldritch- A Philip K.
34507,The problem with Terry Pratchett is that you keep 
150739,Charming and cute. Nostalgia and a sale on the ele
647579,Ajahn Brahm is definitely the happiest person I've
106131,"Here I am again, reading kids books to ace my read"
4143812,"""Why do you read anyway - for the sake of amusemen"
7198269,Re-read Oct'2019:I still love Leo Lord Ramsay and 
293583,If I have to choose which one of Shakespeare's tra
13068,Well that was weird! I had to adjust my expectatio
3585344,Whew! Just when I thought that maybe I was going t
40024,***New TV series based on the book is showing on T
596307,First posted over at myblogwhere you can find more
13596809,6+++ stars!SQUEEE SQUEEE SQUEEE SQUEEEEE!!!!!!!THI
665,Ayn Rand was not afraid of turning conventional wi
19017771,Folks who follow me on Twitter know this is essent
4918991,Terrific stories.
9454,If you were to ask me for my highest-rated Fave wo
64217,Discworld 7: The story of how Terric becomes an as
18298225,Kasie West and I are NOT FRIENDS.Normally at the b
393699,I think the last time I was this gripped right fro
776159,"Chandler’s fourth full mystery, and one that sprin"
148639,"Waterland, published in 1983, is a semi-postmodern"
32638,"""The great grey beast February had eaten Harvey Sw"
84573,"A romantic, swashbuckling type of tale from the ta"
22284,Liking Chuck Palahniuk's books must be akin to a F
2373,"DISGUSTING, YET RIVETING!The Bone Collector is a p"
59365218,"4/5Look at me falling in love with YA book, never "
60048804,"2.5 ☆InNo Plan B, Jack Reacher arrived in small to"
18628601,‘More Than’ 5 stars!!!Love has no limits. No bound
13262783,What makes us fall in love--and what makes us who 
1412138,#3 in my 2020 Mercy Thompson reread! Review first 
3377988,A baby boy named Sam is born who is introduced to 
36116546,It’s difficult to put yourself in someone else’s s
38502,I've never read any Bukowski that I've not enjoyed
522534,"""No woman in the three-hundred year history of the"
131581599,Briiliant!As always a brilliant book with wonderfu
436562,This is the book that introduced concept of robots
28481,Book one in a 7 book series. I LOVE the series. Le
174374,"This book, newly reissued in a very nice trade pap"
4618801,It’s been a little while since I read a medievalis
34529,Elves on the Discworld.In Guillermo del Toro’s 200
11733930,I would love to know how people can rate this book
227571,How do I write this to persuade the uninitiated ho
9601,“What a fool I would have been to let self-respect
4583888,"This is not so much a review as it is a sorrowful,"
99208,I had a tough time getting through this book. Ever
859722,this the first pokemon book that tracey west wrote
117710,I had been wanting to read this book for quite som
40425,Viscount Greystoke will see you now.One of the adv
26135825,Many family issues united into one big tragedyA fa
465589,Have you ever wanted to run away from your life? W
3601593,I stopped at 100 pages in. I think it is important
107664,What do you get when you mix elements of Harry Pot
543689,Andre Coleman tells an intriguing story of a young
618196,Don't think. Don't wonder. Just go. Just do. What 
32669,Good book about clandestine operations and some al
41881472,"I, hereby, list down 43 fabulous financial lessons"
420966,Such hilarity! Tom Sharpe comedy capers are brilli
1215933,Sophia and Dougal.
4836308,Rating: 3.9* of fiveThe Publisher Says: A spellbin
6693,My impressions in a single word: Meh.I recently re
33539383,This author has a wonderful way with words. Her de
5148720,I think I've finally figured out why I'm not that 
72308,Embedded in this brilliant novel is this single po
19405702,I'm crazy for books about people surviving against
16059,This book sucks. It had potential - the plot cente
13402447,"I got this as a free book for kindle, so I figured"
36329818,Dante my man my man my man my man 😩🤞🏽i was eating 
15937108,"My friend, Colby, has been raving about this book "
13584236,IN MY OPINIONFifty Shades of Grey-The TrilogyFifty
156152,"This will be another ongoing review, as I've been "
2991123,this book was FANTASTIC!!! really made me analyze 
32722510,What a disappointment! I anxiously awaited the pap
3340412,An amazing story. I bought this as an ebook becaus
25930928,I very rarely read shortsI used to never read shor
563452,This book was very interesting and I never wanted 
9615347,Wanted it to be more creepy.Full review to come!
32226,I'm not really sure how I feel about the book over
2338,"Despite the title, this is primarily the story of "
11187861,I am the first to admit that I absolutely HATE poe
17668473,To anyone who thinks research for a book is not wo
5096882,"Very, very good. Gilder does an excellent job of c"
95532,You may know Paul Feig as the creator of Freaks an
167578665,This book contains dark content for mature readers
48464,A masterpiece collection of short stories publishe
45360527,"This is easily one of the best mystery/thrillers, "
661318,"Good story, fast moving well plotted and a leading"
226706,Just remembered that I never wrote a review for th
3853,"""I kept a journal to have a record of my early imp"
357857,This book really taught me a lot both intellectual
77507,I just finished reading this for the second or thi
213753,"Okay, I was really looking forward to this book - "
251633,The Invicible: Early classic encounter with a swar
1686198,"Book Review3.5 of 5 stars forG is for Gumshoe, the"
4251902,awwww poor boook. i am only feeling three stars he
96647,DNF @ 55 pagesI've decided to stop here before I h
184373,This entire book/pamphlet is just a cope for the f
53457092,EL is just one of those reliable authors who never
17880708,^^^ my Colton casting...*** FULL REVIEW NOW POSTED
3437316,"I don't know about this one. I mean, it feels pret"
768889,Book 3 of the 'Game of Thrones' series. As Winter 
2204464,I normally love anything by Levine.Normally.But th
