id,title,total_books,total_votes
345627,Best Books Ever,122608,256088
7624,Best Books Ever,122608,256088
17245,Best Books Ever,122608,256088
39988,Best Books Ever,122608,256088
19063,Best Books Ever,122608,256088
8127,Best Books Ever,122608,256088
52036,Best Books Ever,122608,256088
1381,Best Books Ever,122608,256088
5,Best Books Ever,122608,256088
929,Best Books Ever,122608,256088
2657,Best Books Ever,122608,256088
38447,Best Books Ever,122608,256088
4981,Best Books Ever,122608,256088
52892857,Best Books Ever,122608,256088
11,Best Books Ever,122608,256088
4667024,Best Books Ever,122608,256088
18405,Best Books Ever,122608,256088
18135,Best Books Ever,122608,256088
7144,Best Books Ever,122608,256088
168668,Best Books Ever,122608,256088
2956,Best Books Ever,122608,256088
15823480,Best Books Ever,122608,256088
30,Best Books Ever,122608,256088
2998,Best Books Ever,122608,256088
24213,Best Books Ever,122608,256088
332613,Best Books Ever,122608,256088
256683,Best Books Ever,122608,256088
40961427,Best Books Ever,122608,256088
1885,Best Books Ever,122608,256088
24280,Best Books Ever,122608,256088
42844155,Best Books Ever,122608,256088
375802,Best Books Ever,122608,256088
14891,Best Books Ever,122608,256088
11127,Best Books Ever,122608,256088
2429135,Best Books Ever,122608,256088
13335037,Best Books Ever,122608,256088
890,Best Books Ever,122608,256088
13079982,Best Books Ever,122608,256088
10964,Best Books Ever,122608,256088
17899948,Best Books Ever,122608,256088
136251,Best Books Ever,122608,256088
6514,Best Books Ever,122608,256088
19543,Best Books Ever,122608,256088
149267,Best Books Ever,122608,256088
41817486,Best Books Ever,122608,256088
830502,Best Books Ever,122608,256088
157993,Best Books Ever,122608,256088
43641,Best Books Ever,122608,256088
2767052,Best Books Ever,122608,256088
28187,Best Books Ever,122608,256088
2,Best Books Ever,122608,256088
22628,Best Books Ever,122608,256088
13496,Best Books Ever,122608,256088
5297,Best Books Ever,122608,256088
231804,Best Books Ever,122608,256088
4214,Best Books Ever,122608,256088
6288,Best Books Ever,122608,256088
170448,Best Books Ever,122608,256088
16299,Best Books Ever,122608,256088
5107,Best Books Ever,122608,256088
5129,Best Books Ever,122608,256088
10917,Best Books Ever,122608,256088
7244,Best Books Ever,122608,256088
77203,Best Books Ever,122608,256088
128029,Best Books Ever,122608,256088
119322,Best Books Ever,122608,256088
35031085,Best Books Ever,122608,256088
41865,Best Books Ever,122608,256088
3636,Best Books Ever,122608,256088
1953,Best Books Ever,122608,256088
23919,Best Books Ever,122608,256088
3836,Best Books Ever,122608,256088
23772,Best Books Ever,122608,256088
1812457,Best Books Ever,122608,256088
18619684,Best Books Ever,122608,256088
11588,Best Books Ever,122608,256088
